Year;Berkshire Book Value - PCT Change;Berkshire Market Value - PCT Change;S&P 500 (incl Dividends) - PCT Change;Berkshire Book Value - Cumulative Return;Berkshire Market Value - Cumulative Return;S&P 500 (incl Dividends) - Cumulative Return
1975;21,90%;2,50%;37,20%;388,30%;231,50%;57,50%
1976;59,30%;129,30%;23,60%;677,90%;660,10%;94,60%
1977;31,90%;46,80%;-7,40%;926,10%;1015,90%;80,20%
1978;24,00%;14,50%;6,40%;1172,40%;1177,70%;91,80%
1979;35,70%;102,50%;18,20%;1626,60%;2487,30%;126,60%
1980;19,30%;32,80%;32,30%;1959,80%;3335,90%;199,90%
1981;31,40%;31,80%;-5,00%;2606,60%;4428,50%;184,90%
1982;40,00%;38,40%;21,40%;3689,20%;6167,50%;245,80%
1983;32,30%;69,00%;22,40%;4913,20%;10492,00%;323,30%
1984;13,60%;-2,70%;6,10%;5595,00%;10206,00%;349,10%
1985;48,20%;93,70%;31,60%;8339,90%;19862,80%;491,00%
1986;26,10%;14,20%;18,60%;10542,80%;22697,50%;601,00%
1987;19,50%;4,60%;5,10%;12618,10%;23746,20%;636,70%
1988;20,10%;59,30%;16,60%;15174,40%;37886,90%;759,00%
1989;44,40%;84,60%;31,70%;21956,30%;70023,90%;1031,30%
1990;7,40%;-23,10%;-3,10%;23588,40%;53825,30%;996,20%
1991;39,60%;35,60%;30,50%;32969,10%;73022,70%;1330,60%
1992;20,30%;29,80%;7,60%;39682,10%;94813,20%;1439,30%
1993;14,30%;38,90%;10,10%;45370,90%;131734,50%;1594,80%
1994;13,90%;25,00%;1,30%;51691,40%;164693,10%;1616,80%
1995;43,10%;57,40%;37,60%;74013,50%;259284,30%;2262,30%
1996;31,80%;6,20%;23,00%;97581,60%;275366,20%;2805,70%
1997;34,10%;34,90%;33,40%;130891,00%;371503,90%;3776,20%
1998;48,30%;52,20%;28,60%;194159,60%;565481,10%;4884,80%
1999;0,50%;-19,90%;21,00%;195130,90%;452930,50%;5931,60%
2000;6,50%;26,60%;-9,10%;207820,90%;573436,60%;5382,70%
2001;-6,20%;6,50%;-11,90%;194929,80%;610716,40%;4730,20%
2002;10,00%;-3,80%;-22,10%;214432,80%;587505,40%;3662,80%
2003;21,00%;15,80%;28,70%;259484,70%;680347,10%;4742,70%
2004;10,50%;4,30%;10,90%;286741,10%;709606,30%;5270,50%
2005;6,40%;0,80%;4,90%;305098,90%;715283,90%;5533,70%
